reply_sender,count
151,1102
1721,710
414,592
1706,564
1691,495
17978,377
13209,355
307,350
1158,341
2027,319
48,315
5409,258
617,239
1501,229
1730,217
271,211
131,183
2455,168
3910,153
164,149
5043,137
1340,129
13140,129
371,126
346,125
1910,122
503,121
1580,117
2434,115
1700,107
941,103
308,102
893,101
555,100
189,99
1660,98
422,98
4845,94
1567,94
4232,94
253,93
468,88
1405,87
4826,87
136,81
411,79
5424,76
1711,75
14059,74
172,72
441,72
1703,72
11193,72
159,70
237,68
5377,68
2808,67
19011,67
1148,65
2,64
947,63
178,62
1497,61
551,58
623,57
1033,57
60,56
39,55
5366,55
2399,55
1843,54
2257,52
4457,52
5210,51
14587,51
457,51
171,50
5552,50
1635,50
162,49
1688,48
3678,48
2645,47
1546,47
1670,47
563,46
36,46
8352,46
176,46
5110,45
3008,43
1671,43
3713,43
18965,42
43,42
1963,42
8260,41
402,41
9209,41
435,41
1844,41
18237,40
4632,40
3949,40
1529,39
13150,39
5209,37
1702,37
309,37
331,35
30,35
8558,34
3050,33
1904,32
182,32
8149,32
36169,32
590,31
1811,31
5007,30
5376,30
124,30
1295,29
5,29
562,29
469,29
454,28
10047,28
1107,28
2597,28
13182,28
180,28
1024,27
26345,27
5060,27
2256,27
30605,26
121,26
13345,26
9957,26
1657,26
1696,25
1505,25
211,25
15634,25
267,25
22270,25
4211,25
5940,25
1733,24
17577,24
36167,24
56,24
77,24
3702,24
4140,24
17082,23
22217,23
5167,23
10790,23
2963,23
547,23
14,22
3346,22
5040,22
224,22
1521,22
2488,22
3692,22
17695,22
10016,22
517,22
2207,21
1370,21
3554,21
322,21
5753,21
1839,21
502,20
1835,20
561,20
8231,20
48416,20
1812,20
2204,19
14518,19
33081,19
18680,19
49,19
545,19
1791,19
1025,19
20588,19
19936,19
30535,19
2458,18
295,18
3046,18
1678,18
1847,18
15413,18
9988,18
4228,18
1034,18
1565,18
15006,17
10094,17
1485,17
4793,17
4899,17
101,17
16835,17
4829,17
345,17
48185,17
673,17
2630,17
6655,17
4722,17
3408,17
878,16
8248,16
46668,16
2544,16
3398,16
35269,16
35558,16
263,16
155,16
254,16
560,16
529,15
1694,15
23819,15
289,15
2344,15
150,15
1679,15
4458,15
1035,15
21965,15
859,15
3658,15
1470,15
3877,15
12807,15
1855,15
10146,15
1927,15
3923,14
3898,14
1,14
86,14
123,14
1015,14
5523,14
1883,14
385,14
33092,14
34651,14
1091,14
508,14
3368,14
20094,14
15017,13
33078,13
14098,13
15016,13
51,13
667,13
5423,13
22943,13
5828,13
1732,13
2651,13
409,13
1854,13
8986,13
15751,13
17883,13
117,13
4889,13
5229,13
3561,13
35,13
16806,13
37411,13
5157,12
10054,12
1683,12
13272,12
298,12
11086,12
3012,12
4484,12
1147,12
592,12
5300,12
4922,12
19977,12
14427,12
115,12
4841,12
35520,12
1150,12
38530,12
22925,12
9195,12
15032,12
1850,12
4424,11
2598,11
3854,11
1040,11
3836,11
14795,11
22642,11
3344,11
22043,11
15417,11
10048,11
948,11
1695,11
22287,11
42470,11
1708,11
14055,11
11961,11
2664,11
14252,11
828,11
37354,11
3413,11
779,11
15013,11
496,11
22,11
5358,11
18246,11
1152,11
757,11
